StringData;Label;last_char_vow;first_char_vow;only_digits;only_alphas;startwith_spec;endwith_spec;str_len;unq_char;spec_char_length;spaces_length;num_length;alphaLength;vowelLength;ConsonantLength;plusLength;minusLength;_Length;atLength;dotLength;FsllashLength;ColonLength;hashLength;SbracLength;commaLength;xLength
elli;Name;1;1;0;1;0;0;4;3;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
ula;Name;1;1;0;1;0;0;3;3;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0
mikaela;Name;1;0;0;1;0;0;7;6;0;0;0;7;4;3;0;0;0;0;0;0;0;0;0;0;0
guillermo;Name;1;0;0;1;0;0;9;8;0;0;0;9;4;5;0;0;0;0;0;0;0;0;0;0;0
tajuana;Name;1;0;0;1;0;0;7;5;0;0;0;7;4;3;0;0;0;0;0;0;0;0;0;0;0
deon;Name;0;0;0;1;0;0;4;4;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
orville;Name;1;1;0;1;0;0;7;6;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
kelvin;Name;0;0;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
angelena;Name;1;1;0;1;0;0;8;5;0;0;0;8;4;4;0;0;0;0;0;0;0;0;0;0;0
cameron;Name;0;0;0;1;0;0;7;7;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
cory;Name;0;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
stephen;Name;0;0;0;1;0;0;7;6;0;0;0;7;2;5;0;0;0;0;0;0;0;0;0;0;0
joshua;Name;1;0;0;1;0;0;6;6;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
hilma;Name;1;0;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
toney;Name;0;0;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
wade;Name;1;0;0;1;0;0;4;4;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
elizbeth;Name;0;1;0;1;0;0;8;7;0;0;0;8;3;5;0;0;0;0;0;0;0;0;0;0;0
demetrius;Name;0;0;0;1;0;0;9;8;0;0;0;9;4;5;0;0;0;0;0;0;0;0;0;0;0
raymonde;Name;1;0;0;1;0;0;8;8;0;0;0;8;3;5;0;0;0;0;0;0;0;0;0;0;0
ozell;Name;0;1;0;1;0;0;5;4;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
giovanni;Name;1;0;0;1;0;0;8;6;0;0;0;8;4;4;0;0;0;0;0;0;0;0;0;0;0
bryan;Name;0;0;0;1;0;0;5;5;0;0;0;5;1;4;0;0;0;0;0;0;0;0;0;0;0
mauro;Name;1;0;0;1;0;0;5;5;0;0;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0
rosendo;Name;1;0;0;1;0;0;7;6;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
edward;Name;0;1;0;1;0;0;6;5;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
sherika;Name;1;0;0;1;0;0;7;7;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
carmine;Name;1;0;0;1;0;0;7;7;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
colton;Name;0;0;0;1;0;0;6;5;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
thomas;Name;0;0;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
burt;Name;0;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
gertrud;Name;0;0;0;1;0;0;7;6;0;0;0;7;2;5;0;0;0;0;0;0;0;0;0;0;0
martin;Name;0;0;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
mohamed;Name;0;0;0;1;0;0;7;6;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
claudio;Name;1;0;0;1;0;0;7;7;0;0;0;7;4;3;0;0;0;0;0;0;0;0;0;0;0
jermaine;Name;1;0;0;1;0;0;8;7;0;0;0;8;4;4;0;0;0;0;0;0;0;0;0;0;0
marlin;Name;0;0;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
emmanuel;Name;0;1;0;1;0;0;8;6;0;0;0;8;4;4;0;0;0;0;0;0;0;0;0;0;0
annabelle;Name;1;1;0;1;0;0;9;5;0;0;0;9;4;5;0;0;0;0;0;0;0;0;0;0;0
jackelyn;Name;0;0;0;1;0;0;8;8;0;0;0;8;2;6;0;0;0;0;0;0;0;0;0;0;0
harry;Name;0;0;0;1;0;0;5;4;0;0;0;5;1;4;0;0;0;0;0;0;0;0;0;0;0
vikki;Name;1;0;0;1;0;0;5;3;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
kraig;Name;0;0;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
leatha;Name;1;0;0;1;0;0;6;5;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
lissette;Name;1;0;0;1;0;0;8;5;0;0;0;8;3;5;0;0;0;0;0;0;0;0;0;0;0
carl;Name;0;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
jules;Name;0;0;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
shane;Name;1;0;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
meg;Name;0;0;0;1;0;0;3;3;0;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0
ligia;Name;1;0;0;1;0;0;5;4;0;0;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0
adam;Name;0;1;0;1;0;0;4;3;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
cesar;Name;0;0;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
emil;Name;0;1;0;1;0;0;4;4;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
walter;Name;0;0;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
muoi;Name;1;0;0;1;0;0;4;4;0;0;0;4;3;1;0;0;0;0;0;0;0;0;0;0;0
aimee;Name;1;1;0;1;0;0;5;4;0;0;0;5;4;1;0;0;0;0;0;0;0;0;0;0;0
rhea;Name;1;0;0;1;0;0;4;4;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
lorie;Name;1;0;0;1;0;0;5;5;0;0;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0
everett;Name;0;1;0;1;0;0;7;4;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
brice;Name;1;0;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
ed;Name;0;1;0;1;0;0;2;2;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0
hana;Name;1;0;0;1;0;0;4;3;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
javier;Name;0;0;0;1;0;0;6;6;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
latina;Name;1;0;0;1;0;0;6;5;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
sang;Name;0;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
mervin;Name;0;0;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
jerold;Name;0;0;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
georgianna;Name;1;0;0;1;0;0;10;7;0;0;0;10;5;5;0;0;0;0;0;0;0;0;0;0;0
robena;Name;1;0;0;1;0;0;6;6;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
carri;Name;1;0;0;1;0;0;5;4;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
faustino;Name;1;0;0;1;0;0;8;8;0;0;0;8;4;4;0;0;0;0;0;0;0;0;0;0;0
augustine;Name;1;1;0;1;0;0;9;8;0;0;0;9;5;4;0;0;0;0;0;0;0;0;0;0;0
dan;Name;0;0;0;1;0;0;3;3;0;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0
earnest;Name;0;1;0;1;0;0;7;6;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
lacy;Name;0;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
rigoberto;Name;1;0;0;1;0;0;9;7;0;0;0;9;4;5;0;0;0;0;0;0;0;0;0;0;0
season;Name;0;0;0;1;0;0;6;5;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
jerrold;Name;0;0;0;1;0;0;7;6;0;0;0;7;2;5;0;0;0;0;0;0;0;0;0;0;0
berry;Name;0;0;0;1;0;0;5;4;0;0;0;5;1;4;0;0;0;0;0;0;0;0;0;0;0
ivan;Name;0;1;0;1;0;0;4;4;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
deeann;Name;0;0;0;1;0;0;6;4;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
valeria;Name;1;0;0;1;0;0;7;6;0;0;0;7;4;3;0;0;0;0;0;0;0;0;0;0;0
courtney;Name;0;0;0;1;0;0;8;8;0;0;0;8;3;5;0;0;0;0;0;0;0;0;0;0;0
tish;Name;0;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
dawna;Name;1;0;0;1;0;0;5;4;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
lala;Name;1;0;0;1;0;0;4;2;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
jesse;Name;1;0;0;1;0;0;5;3;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
willis;Name;0;0;0;1;0;0;6;4;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
felicitas;Name;0;0;0;1;0;0;9;8;0;0;0;9;4;5;0;0;0;0;0;0;0;0;0;0;0
dominic;Name;0;0;0;1;0;0;7;6;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
ahmad;Name;0;1;0;1;0;0;5;4;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
merrilee;Name;1;0;0;1;0;0;8;5;0;0;0;8;4;4;0;0;0;0;0;0;0;0;0;0;0
bernardo;Name;1;0;0;1;0;0;8;7;0;0;0;8;3;5;0;0;0;0;0;0;0;0;0;0;0
buck;Name;0;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
young;Name;0;0;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
markus;Name;0;0;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
tiffany;Name;0;0;0;1;0;0;7;6;0;0;0;7;2;5;0;0;0;0;0;0;0;0;0;0;0
ilda;Name;1;1;0;1;0;0;4;4;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
chelsey;Name;0;0;0;1;0;0;7;6;0;0;0;7;2;5;0;0;0;0;0;0;0;0;0;0;0
vanesa;Name;1;0;0;1;0;0;6;5;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
katelynn;Name;0;0;0;1;0;0;8;7;0;0;0;8;2;6;0;0;0;0;0;0;0;0;0;0;0
eddy;Name;0;1;0;1;0;0;4;3;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
ozie;Name;1;1;0;1;0;0;4;4;0;0;0;4;3;1;0;0;0;0;0;0;0;0;0;0;0
rufina;Name;1;0;0;1;0;0;6;6;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
dixie;Name;1;0;0;1;0;0;5;4;0;0;0;5;3;2;0;0;0;0;0;0;0;0;0;0;1
larue;Name;1;0;0;1;0;0;5;5;0;0;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0
curt;Name;0;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
harold;Name;0;0;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
verda;Name;1;0;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
ivory;Name;0;1;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
audie;Name;1;1;0;1;0;0;5;5;0;0;0;5;4;1;0;0;0;0;0;0;0;0;0;0;0
jerry;Name;0;0;0;1;0;0;5;4;0;0;0;5;1;4;0;0;0;0;0;0;0;0;0;0;0
floy;Name;0;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
aleen;Name;0;1;0;1;0;0;5;4;0;0;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0
hazel;Name;0;0;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
ruthann;Name;0;0;0;1;0;0;7;6;0;0;0;7;2;5;0;0;0;0;0;0;0;0;0;0;0
austin;Name;0;1;0;1;0;0;6;6;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
jackqueline;Name;1;0;0;1;0;0;11;10;0;0;0;11;5;6;0;0;0;0;0;0;0;0;0;0;0
concepcion;Name;0;0;0;1;0;0;10;6;0;0;0;10;4;6;0;0;0;0;0;0;0;0;0;0;0
mack;Name;0;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
kaila;Name;1;0;0;1;0;0;5;4;0;0;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0
geri;Name;1;0;0;1;0;0;4;4;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
sharie;Name;1;0;0;1;0;0;6;6;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
jame;Name;1;0;0;1;0;0;4;4;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
lucrecia;Name;1;0;0;1;0;0;8;7;0;0;0;8;4;4;0;0;0;0;0;0;0;0;0;0;0
tuyet;Name;0;0;0;1;0;0;5;4;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
gwen;Name;0;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
madeline;Name;1;0;0;1;0;0;8;7;0;0;0;8;4;4;0;0;0;0;0;0;0;0;0;0;0
kay;Name;0;0;0;1;0;0;3;3;0;0;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0
neville;Name;1;0;0;1;0;0;7;5;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
jake;Name;1;0;0;1;0;0;4;4;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
berta;Name;1;0;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
nathan;Name;0;0;0;1;0;0;6;4;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
melanie;Name;1;0;0;1;0;0;7;6;0;0;0;7;4;3;0;0;0;0;0;0;0;0;0;0;0
elke;Name;1;1;0;1;0;0;4;3;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
major;Name;0;0;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
nathanial;Name;0;0;0;1;0;0;9;6;0;0;0;9;4;5;0;0;0;0;0;0;0;0;0;0;0
sonny;Name;0;0;0;1;0;0;5;4;0;0;0;5;1;4;0;0;0;0;0;0;0;0;0;0;0
rossana;Name;1;0;0;1;0;0;7;5;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
marshall;Name;0;0;0;1;0;0;8;6;0;0;0;8;2;6;0;0;0;0;0;0;0;0;0;0;0
kristofer;Name;0;0;0;1;0;0;9;8;0;0;0;9;3;6;0;0;0;0;0;0;0;0;0;0;0
nyla;Name;1;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
denese;Name;1;0;0;1;0;0;6;4;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
kathaleen;Name;0;0;0;1;0;0;9;7;0;0;0;9;4;5;0;0;0;0;0;0;0;0;0;0;0
darin;Name;0;0;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
florentino;Name;1;0;0;1;0;0;10;8;0;0;0;10;4;6;0;0;0;0;0;0;0;0;0;0;0
lizzette;Name;1;0;0;1;0;0;8;5;0;0;0;8;3;5;0;0;0;0;0;0;0;0;0;0;0
salvatore;Name;1;0;0;1;0;0;9;8;0;0;0;9;4;5;0;0;0;0;0;0;0;0;0;0;0
dana;Name;1;0;0;1;0;0;4;3;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
sheridan;Name;0;0;0;1;0;0;8;8;0;0;0;8;3;5;0;0;0;0;0;0;0;0;0;0;0
vincent;Name;0;0;0;1;0;0;7;6;0;0;0;7;2;5;0;0;0;0;0;0;0;0;0;0;0
joe;Name;1;0;0;1;0;0;3;3;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0
marcos;Name;0;0;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
candida;Name;1;0;0;1;0;0;7;5;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
shemika;Name;1;0;0;1;0;0;7;7;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
rebecca;Name;1;0;0;1;0;0;7;5;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
alex;Name;0;1;0;1;0;0;4;4;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;1
betty;Name;0;0;0;1;0;0;5;4;0;0;0;5;1;4;0;0;0;0;0;0;0;0;0;0;0
alayna;Name;1;1;0;1;0;0;6;4;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
candy;Name;0;0;0;1;0;0;5;5;0;0;0;5;1;4;0;0;0;0;0;0;0;0;0;0;0
ashley;Name;0;1;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
ronnie;Name;1;0;0;1;0;0;6;5;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
willow;Name;0;0;0;1;0;0;6;4;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
bobby;Name;0;0;0;1;0;0;5;3;0;0;0;5;1;4;0;0;0;0;0;0;0;0;0;0;0
augustus;Name;0;1;0;1;0;0;8;5;0;0;0;8;4;4;0;0;0;0;0;0;0;0;0;0;0
michael;Name;0;0;0;1;0;0;7;7;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
alec;Name;0;1;0;1;0;0;4;4;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
cornell;Name;0;0;0;1;0;0;7;6;0;0;0;7;2;5;0;0;0;0;0;0;0;0;0;0;0
guadalupe;Name;1;0;0;1;0;0;9;7;0;0;0;9;5;4;0;0;0;0;0;0;0;0;0;0;0
tobias;Name;0;0;0;1;0;0;6;6;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
rocco;Name;1;0;0;1;0;0;5;3;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
dexter;Name;0;0;0;1;0;0;6;5;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;1
lyda;Name;1;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
sara;Name;1;0;0;1;0;0;4;3;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
dean;Name;0;0;0;1;0;0;4;4;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
abdul;Name;0;1;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
hector;Name;0;0;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
lonnie;Name;1;0;0;1;0;0;6;5;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
fernando;Name;1;0;0;1;0;0;8;7;0;0;0;8;3;5;0;0;0;0;0;0;0;0;0;0;0
dorla;Name;1;0;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
akilah;Name;0;1;0;1;0;0;6;5;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
pasquale;Name;1;0;0;1;0;0;8;7;0;0;0;8;4;4;0;0;0;0;0;0;0;0;0;0;0
patrick;Name;0;0;0;1;0;0;7;7;0;0;0;7;2;5;0;0;0;0;0;0;0;0;0;0;0
isadora;Name;1;1;0;1;0;0;7;6;0;0;0;7;4;3;0;0;0;0;0;0;0;0;0;0;0
deandre;Name;1;0;0;1;0;0;7;5;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
rochelle;Name;1;0;0;1;0;0;8;6;0;0;0;8;3;5;0;0;0;0;0;0;0;0;0;0;0
lesha;Name;1;0;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
adena;Name;1;1;0;1;0;0;5;4;0;0;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0
maurine;Name;1;0;0;1;0;0;7;7;0;0;0;7;4;3;0;0;0;0;0;0;0;0;0;0;0
mariette;Name;1;0;0;1;0;0;8;6;0;0;0;8;4;4;0;0;0;0;0;0;0;0;0;0;0
sherlene;Name;1;0;0;1;0;0;8;6;0;0;0;8;3;5;0;0;0;0;0;0;0;0;0;0;0
kary;Name;0;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
luther;Name;0;0;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
percy;Name;0;0;0;1;0;0;5;5;0;0;0;5;1;4;0;0;0;0;0;0;0;0;0;0;0
loida;Name;1;0;0;1;0;0;5;5;0;0;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0
eda;Name;1;1;0;1;0;0;3;3;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0
bella;Name;1;0;0;1;0;0;5;4;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
mardell;Name;0;0;0;1;0;0;7;6;0;0;0;7;2;5;0;0;0;0;0;0;0;0;0;0;0
merlin;Name;0;0;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
miquel;Name;0;0;0;1;0;0;6;6;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
soila;Name;1;0;0;1;0;0;5;5;0;0;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0
samuel;Name;0;0;0;1;0;0;6;6;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
claud;Name;0;0;0;1;0;0;5;5;0;0;0;5;2;3;0;0;0;0;0;0;0;0;0;0;0
dwayne;Name;1;0;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
tawnya;Name;1;0;0;1;0;0;6;5;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
yanira;Name;1;0;0;1;0;0;6;5;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
jerome;Name;1;0;0;1;0;0;6;5;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
ellsworth;Name;0;1;0;1;0;0;9;8;0;0;0;9;2;7;0;0;0;0;0;0;0;0;0;0;0
veronika;Name;1;0;0;1;0;0;8;8;0;0;0;8;4;4;0;0;0;0;0;0;0;0;0;0;0
jimmy;Name;0;0;0;1;0;0;5;4;0;0;0;5;1;4;0;0;0;0;0;0;0;0;0;0;0
dirk;Name;0;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
ezra;Name;1;1;0;1;0;0;4;4;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0
katharine;Name;1;0;0;1;0;0;9;8;0;0;0;9;4;5;0;0;0;0;0;0;0;0;0;0;0
lorean;Name;0;0;0;1;0;0;6;6;0;0;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0
mickey;Name;0;0;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
chad;Name;0;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
earle;Name;1;1;0;1;0;0;5;4;0;0;0;5;3;2;0;0;0;0;0;0;0;0;0;0;0
ralph;Name;0;0;0;1;0;0;5;5;0;0;0;5;1;4;0;0;0;0;0;0;0;0;0;0;0
shanice;Name;1;0;0;1;0;0;7;7;0;0;0;7;3;4;0;0;0;0;0;0;0;0;0;0;0
nestor;Name;0;0;0;1;0;0;6;6;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
arthur;Name;0;1;0;1;0;0;6;5;0;0;0;6;2;4;0;0;0;0;0;0;0;0;0;0;0
stacy;Name;0;0;0;1;0;0;5;5;0;0;0;5;1;4;0;0;0;0;0;0;0;0;0;0;0
cruz;Name;0;0;0;1;0;0;4;4;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0
